"year","ID","Scenario","variable","value"
1,"1538394453401","Baseline","COPD2pc",10.9822930062321
2,"1538394453401","Baseline","COPD2pc",11.027090158661
3,"1538394453401","Baseline","COPD2pc",11.0691288909111
4,"1538394453401","Baseline","COPD2pc",11.0475813631418
5,"1538394453401","Baseline","COPD2pc",11.0834346489537
6,"1538394453401","Baseline","COPD2pc",11.1158344290332
7,"1538394453401","Baseline","COPD2pc",11.1268162498764
8,"1538394453401","Baseline","COPD2pc",11.1628136731871
9,"1538394453401","Baseline","COPD2pc",11.2157381973401
10,"1538394453401","Baseline","COPD2pc",11.2592270521853
11,"1538394453401","Baseline","COPD2pc",11.2803375327774
12,"1538394453401","Baseline","COPD2pc",11.3627839955785
13,"1538394453401","Baseline","COPD2pc",11.4512248037553
14,"1538394453401","Baseline","COPD2pc",11.5100316789863
15,"1538394453401","Baseline","COPD2pc",11.5312170251373
16,"1538394453401","Baseline","COPD2pc",11.519932078899
17,"1538394453401","Baseline","COPD2pc",11.4897137173414
18,"1538394453401","Baseline","COPD2pc",11.4706752094628
19,"1538394453401","Baseline","COPD2pc",11.4617841930904
20,"1538394453401","Baseline","COPD2pc",11.4651061985262
21,"1538394453401","Baseline","COPD2pc",11.3930534486495
22,"1538394453401","Baseline","COPD2pc",11.2258369623047
23,"1538394453401","Baseline","COPD2pc",11.0638716661746
24,"1538394453401","Baseline","COPD2pc",10.9828012246867
25,"1538394453401","Baseline","COPD2pc",10.7603099126771
26,"1538394453401","Baseline","COPD2pc",10.5445125194539
27,"1538394453401","Baseline","COPD2pc",10.3488989904953
28,"1538394453401","Baseline","COPD2pc",10.0713617796151
29,"1538394453401","Baseline","COPD2pc",9.86723793987874
30,"1538394453401","Baseline","COPD2pc",9.65290492784439
31,"1538394453401","Baseline","COPD2pc",9.45241327745312
32,"1538394453401","Baseline","COPD2pc",9.1743209584847
33,"1538394453401","Baseline","COPD2pc",8.94987244018479
34,"1538394453401","Baseline","COPD2pc",8.79555791836494
35,"1538394453401","Baseline","COPD2pc",8.54832688188945
36,"1538394453401","Baseline","COPD2pc",8.23373043221424
37,"1538394453401","Baseline","COPD2pc",8.06051294173266
38,"1538394453401","Baseline","COPD2pc",7.87823296019533
39,"1538394453401","Baseline","COPD2pc",7.69776796277309
40,"1538394453401","Baseline","COPD2pc",7.57247305047002
41,"1538394453401","Baseline","COPD2pc",7.3972036641642
42,"1538394453401","Baseline","COPD2pc",7.24979056817622
43,"1538394453401","Baseline","COPD2pc",7.18161852329693
44,"1538394453401","Baseline","COPD2pc",7.07831176893742
45,"1538394453401","Baseline","COPD2pc",7.06445229821125
46,"1538394453401","Baseline","COPD2pc",6.94734560359437
47,"1538394453401","Baseline","COPD2pc",6.86389367462466
48,"1538394453401","Baseline","COPD2pc",6.73610358385148
49,"1538394453401","Baseline","COPD2pc",6.64620970686032
